Case,Year,Name,Developer,ClockRate,Transistors
1,1971,4004,Intel,0.74,2.25
2,1972,8008,Intel,0.5,3.5
3,1973,μCOM 4,NEC,1,2.5
4,1974,8080,Intel,2,6
5,1974,4040,Intel,0.74,3
6,1974,6800,Motorola,1,4.1
7,1974,TMS 1000,Texas Instruments,0.4,8
8,1975,BPC,Hewlett Packard,10,6
9,1975,6100,Intersil,4,4
10,1975,6502,MOS Technology,1,3.51
11,1975,CDP 1801,RCA,2,5
12,1976,TMS9900,Texas Instruments,3,8
13,1976,Z-80,Zilog,2.5,8.5
14,1977,8085,Intel,3,6.5
15,1978,8086,Intel,5,29
16,1978,6809,Motorola,1,40
17,1979,8088,Intel,5,29
18,1979,68000,Motorola,8,68
19,1981,T-11,DEC,2.5,17
20,1981,6120,Harris Corporation,10,20
21,1981,ROMP,IBM,10,45
22,1982,FOCUS,Hewlett Packard,18,450
23,1982,80188,Intel,8,29
24,1982,80186,Intel,6,55
25,1982,80286,Intel,6,134
26,1982,RISC-I,UC Berkeley,1,44.42
27,1983,MIPS,Stanford University,2,25
28,1983,RISC-II,UC Berkeley,3,40.76
29,1984,68020,Motorola,16,190
30,1984,V20,NEC,5,63
31,1985,MicroVax II 78032,DEC,5,125
32,1985,Novix NC4016,Harris Corporation,8,16
33,1985,80386,Intel,40,275
34,1985,R2000,MIPS,8,115
35,1986,V60,NEC,16,375
36,1986,SPARC,Sun,40,800
37,1987,ARM2,Acorn,18,25
38,1987,CVAX 78034,DEC,13,134
39,1987,68030,Motorola,16,273
40,1987,V70,NEC,20,385
41,1988,i960,Intel,10,250
42,1988,R3000,MIPS,12,120
43,1989,"VAX DC520 ""Rigel""",DEC,35,320
44,1989,i860,Intel,25,1000
45,1989,80486,Intel,25,1180
46,1990,POWER1,IBM,30,6900
47,1990,68040,Motorola,40,1200
48,1991,NVAX,DEC,90.91,1300
49,1991,RSC,IBM,33,1000
50,1991,R4000,MIPS Computer Systems,100,1350
51,1992,Alpha 21064,DEC,200,1680
52,1992,PA-7100,Hewlett Packard,100,850
53,1992,microSPARC I,Sun,50,800
54,1993,POWER2,IBM,71.5,23000
55,1993,PowerPC 601,"IBM, Motorola",80,2800
56,1993,Pentium,Intel,66,3100
