Z,Element,Discoverer,Discovery
"
,
",,,
"
,
",,,
"
,
",,,
,,,
29,Copper,Middle East,9000 BCE
82,Lead,Near East,7000 BCE
79,Gold,Bulgaria,Before 6000 BCE
47,Silver,,Before 5000 BCE
26,Iron,,Before 5000 BCE
6,Carbon,Egyptians and Sumerians,3750 BCE
50,Tin,,3500 BCE
16,Sulfur,Chinese/Indians,Before 2000 BCE
80,Mercury,Chinese/Indians,Before 2000 BCE
30,Zinc,Indian metallurgists,Before 1000 BCE
33,Arsenic,A. Magnus,2500 BCE/1250 CE
51,Antimony,,3000 BCE
,,,
15,Phosphorus,H. Brand,1669
27,Cobalt,G. Brandt,1732
78,Platinum,A. de Ulloa,1735
28,Nickel,F. Cronstedt,1751
83,Bismuth,C.F. Geoffroy,1753
12,Magnesium,J. Black,1755
1,Hydrogen,H. Cavendish,1766
8,Oxygen,W. Scheele,1771
7,Nitrogen,D. Rutherford,1772
17,Chlorine,W. Scheele,1774
25,Manganese,W. Scheele,1774
56,Barium,W. Scheele,1772
42,Molybdenum,W. Scheele,1778
52,Tellurium,F.-J.M. von Reichenstein,1782
74,Tungsten,T. Bergman,1781
38,Strontium,W. Cruikshank,1787
,,,
40,Zirconium,H. Klaproth,1789
92,Uranium,H. Klaproth,1789
22,Titanium,W. Gregor,1791
39,Yttrium,J. Gadolin,1794
24,Chromium,N. Vauquelin,1797
4,Beryllium,N. Vauquelin,1798
23,Vanadium,M. del Río,1801
41,Niobium,C. Hatchett,1801
73,Tantalum,G. Ekeberg,1802
46,Palladium,H. Wollaston,1803
58,Cerium,"H. Klaproth,W. Hisinger",1803
76,Osmium,S. Tennant,1803
77,Iridium,S. Tennant,1803
45,Rhodium,H. Wollaston,1804
19,Potassium,H. Davy,1807
11,Sodium,H. Davy,1807
20,Calcium,H. Davy,1808
5,Boron,"L. Gay-Lussac,L.J. Thénard",1808
9,Fluorine,A.-M. Ampère,1810
53,Iodine,B. Courtois,1811
3,Lithium,A. Arfwedson,1817
48,Cadmium,"S. L Hermann,F. Stromeyer",1817
34,Selenium,"J. Berzelius,G. Gahn",1817
14,Silicon,J. Berzelius,1824
13,Aluminium,H.C.Ørsted,1825
35,Bromine,"J. Balard,L. Gmelin",1825
90,Thorium,J. Berzelius,1829
57,Lanthanum,G. Mosander,1838
68,Erbium,G. Mosander,1842
65,Terbium,G. Mosander,1842
44,Ruthenium,K. Claus,1844
55,Caesium,"R. Bunsen,R. Kirchhoff",1860
37,Rubidium,,1861
81,Thallium,W. Crookes,1861
49,Indium,"F. Reich,T. Richter",1863
2,Helium,"P. Janssen,N. Lockyer",1868
,,,
31,Gallium,P. E. L. de Boisbaudran,1875
70,Ytterbium,J.C.G. de Marignac,1878
67,Holmium,M. Delafontaine,1878
69,Thulium,T. Cleve,1879
21,Scandium,F. Nilson,1879
62,Samarium,,1879
64,Gadolinium,,1880
59,Praseodymium,A. von Welsbach,1885
60,Neodymium,,1885
66,Dysprosium,,1886
32,Germanium,A. Winkler,1886
18,Argon,"Lord Rayleigh,W. Ramsay",1894
36,Krypton,W. Travers,1898
10,Neon,,1898
54,Xenon,,1898
84,Polonium,"P.,M. Curie",1898
88,Radium,,1898
86,Radon,E. Dorn,1898
89,Actinium,A.-L. Debierne,1899
63,Europium,E.-A. Demarçay,1896
71,Lutetium,"G. Urbain,C.A. von Welsbach",1906
75,Rhenium,M. Ogawa,1908
72,Hafnium,"G. Urbain,V. Vernadsky",1911
91,Protactinium,"O.H.Göhring,K. Fajans",1913
43,Technetium,"C. Perrier,E. Segrè",1937
87,Francium,M. Perey,1939
85,Astatine,"R. Corson,R. MacKenzie,E. Segrè",1940
93,Neptunium,"E.M. McMillan,H. Abelson",1940
94,Plutonium,"Glenn T. Seaborg,Arthur C. Wahl,W. Kennedy",1940–1941
95,Americium,"A. James,O. Morgan,A. Ghiorso",1944
96,Curium,,1944
61,Promethium,"S. Wu,E.G. Segrè,A. Bethe",1942
97,Berkelium,G. Thompson,1949
98,Californium,"K. Street,Jr.",1950
99,Einsteinium,,1952
100,Fermium,,1952
101,Mendelevium,"G. Harvey,R. Choppin",1955
102,Nobelium,"T. Sikkeland,R. Walton",1958
103,Lawrencium,"E. Larsh,M. Latimer",1961
104,Rutherfordium,"M. Nurmia,J. Harris,K. Eskola,P. Eskola",1968
105,Dubnium,,1970
106,Seaborgium,"J. Nitschke,J. Alonso,C. Alonso,K. Hulet,W. Lougheed",1974
107,Bohrium,G.Münzenberg,1981
109,Meitnerium,P. Armbruster,1982
108,Hassium,,1984
110,Darmstadtium,S. Hofmann,1994
111,Roentgenium,,1994
112,Copernicium,,1996
114,Flerovium,Y. Oganessian,1999
116,Livermorium,,2000
,,,
118,Ununoctium,,2002
113,Ununtrium,Alpha decay,2003
115,Ununpentium,,2003
117,Ununseptium,,2010
